pep_number,in_degree,out_degree,degree,pagerank
321,0,0,0,0.0004305713366354541
326,0,0,0,0.0004305713366354541
330,0,0,0,0.0004305713366354541
331,0,0,0,0.0004305713366354541
332,0,0,0,0.0004305713366354541
336,0,0,0,0.0004305713366354541
339,0,0,0,0.0004305713366354541
349,0,0,0,0.0004305713366354541
350,0,0,0,0.0004305713366354541
363,0,0,0,0.0004305713366354541
365,0,0,0,0.0004305713366354541
379,0,0,0,0.0004305713366354541
389,0,0,0,0.0004305713366354541
401,0,0,0,0.0004305713366354541
419,0,0,0,0.0004305713366354541
424,0,0,0,0.0004305713366354541
430,0,0,0,0.0004305713366354541
434,0,0,0,0.0004305713366354541
473,0,0,0,0.0004305713366354541
542,0,0,0,0.0004305713366354541
545,0,0,0,0.0004305713366354541
555,0,0,0,0.0004305713366354541
556,0,0,0,0.0004305713366354541
582,0,0,0,0.0004305713366354541
583,0,0,0,0.0004305713366354541
611,0,0,0,0.0004305713366354541
628,0,0,0,0.0004305713366354541
648,0,0,0,0.0004305713366354541
651,0,0,0,0.0004305713366354541
663,0,0,0,0.0004305713366354541
666,0,0,0,0.0004305713366354541
679,0,0,0,0.0004305713366354541
732,0,0,0,0.0004305713366354541
754,0,0,0,0.0004305713366354541
757,0,0,0,0.0004305713366354541
758,0,0,0,0.0004305713366354541
768,0,0,0,0.0004305713366354541
769,0,0,0,0.0004305713366354541
782,0,0,0,0.0004305713366354541
791,0,0,0,0.0004305713366354541
794,0,0,0,0.0004305713366354541
800,0,0,0,0.0004305713366354541
801,0,0,0,0.0004305713366354541
811,0,0,0,0.0004305713366354541
813,0,0,0,0.0004305713366354541
815,0,0,0,0.0004305713366354541
822,0,0,0,0.0004305713366354541
3123,0,0,0,0.0004305713366354541
3125,0,0,0,0.0004305713366354541
3128,0,0,0,0.0004305713366354541
3132,0,0,0,0.0004305713366354541
3136,0,0,0,0.0004305713366354541
