,PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
130,311,Simplified Global Interpreter Lock Acquisition for Extensions,Final,05-Feb-2003,8,2,0,2,0.07217232405658561,0.5202405361825495
89,269,Pgen Module for Python,Deferred,24-Aug-2001,8,2,0,2,0.045646776781446116,0.5658873129639956
106,286,Enhanced Argument Tuples,Deferred,03-Mar-2002,8,2,0,2,0.045646776781446116,0.6115340897454418
141,322,Reverse Iteration,Final,24-Sep-2003,8,1,0,1,0.042753080715067254,0.654287170460509
98,278,Universal Newline Support,Final,14-Jan-2002,8,1,0,1,0.040341667326418224,0.6946288377869272
105,285,Adding a bool type,Final,08-Mar-2002,8,1,0,1,0.040341667326418224,0.7349705051133455
126,307,Extensions to the pickle protocol,Final,31-Jan-2003,8,1,0,1,0.040341667326418224,0.7753121724397637
103,283,Python 2.3 Release Schedule,Final,27-Feb-2002,8,0,11,11,0.03744797126003936,0.812760143699803
139,320,Python 2.4 Release Schedule,Final,29-Jul-2003,8,0,6,6,0.03744797126003936,0.8502081149598424
148,329,Treating Builtins as Constants in the Standard Library,Rejected,18-Apr-2004,8,0,1,1,0.03744797126003936,0.8876560862198818
156,337,Logging Usage in the Standard Library,Deferred,02-Oct-2004,8,0,1,1,0.03744797126003936,0.9251040574799211
603,788,Protecting the C API from Interpreter Finalization,Draft,23-Apr-2025,8,0,1,1,0.03744797126003936,0.9625520287399605
663,3120,Using UTF-8 as the default source encoding,Final,15-Apr-2007,8,0,1,1,0.03744797126003936,0.9999999999999998
162,343,"The ""with"" Statement",Final,13-May-2005,9,7,5,12,0.15656401145926732,0.15656401145926732
129,310,Reliable Acquisition/Release Pairs,Rejected,18-Dec-2002,9,4,2,6,0.08868946303877766,0.24525347449804497
161,342,Coroutines via Enhanced Generators,Final,10-May-2005,9,5,4,9,0.08184249774036995,0.3270959722384149
138,319,Python Synchronize/Asynchronize Block,Rejected,24-Feb-2003,9,2,2,4,0.07831200218238683,0.4054079744208018
75,255,Simple Generators,Final,18-May-2001,9,4,2,6,0.07501993519556135,0.4804279096163631
54,234,Iterators,Final,30-Jan-2001,9,4,0,4,0.06707983769154917,0.5475077473079123
144,325,Resource-Release Support for Generators,Rejected,25-Aug-2003,9,6,3,9,0.06539141574434258,0.6128991630522549
108,288,Generators Attributes and Exceptions,Withdrawn,21-Mar-2002,9,4,2,6,0.06471144880691389,0.6776106118591687
159,340,Anonymous Block Statements,Rejected,27-Apr-2005,9,3,6,9,0.0637657752439079,0.7413763871030766
40,220,"Coroutines, Generators, Continuations",Rejected,14-Aug-2000,9,1,0,1,0.05300988173127835,0.794386268834355
39,219,Stackless Python,Deferred,14-Aug-2000,9,1,1,2,0.04588813516340681,0.8402744039977619
165,346,"User Defined (""``with``"") Statements",Withdrawn,06-May-2005,9,1,6,7,0.04061984593287668,0.8808942499306385
700,3333,Python Web Server Gateway Interface v1.0.1,Final,26-Sep-2010,9,3,4,7,0.03720889024843403,0.9181031401790726
152,333,Python Web Server Gateway Interface v1.0,Final,07-Dec-2003,9,2,3,5,0.025879407288789562,0.9439825474678621
153,334,Simple Coroutines via SuspendIteration,Withdrawn,26-Aug-2004,9,0,2,2,0.014004363133034438,0.9579869106008966
196,377,Allow __enter__() methods to skip the statement body,Rejected,08-Mar-2009,9,0,1,1,0.014004363133034438,0.971991273733931
232,414,Explicit Unicode Literal for Python 3.3,Final,15-Feb-2012,9,0,1,1,0.014004363133034438,0.9859956368669655
262,444,Python Web3 Interface,Deferred,19-Jul-2010,9,0,3,3,0.014004363133034438,0.9999999999999999
367,549,Instance Descriptors,Rejected,04-Sep-2017,10,1,0,1,0.08937502138500361,0.08937502138500361
134,315,Enhanced While Loop,Rejected,25-Apr-2003,10,1,0,1,0.08599698105241198,0.17537200243741558
358,540,Add a new UTF-8 Mode,Final,05-Jan-2016,10,4,3,7,0.08242813840184698,0.25780014083926256
380,562,Module __getattr__ and __dir__,Final,09-Sep-2017,10,3,1,4,0.0745776895005828,0.33237783033984536
366,548,More Flexible Loop Control,Rejected,05-Sep-2017,10,1,1,2,0.07060127548873486,0.4029791058285802
346,528,Change Windows console encoding to UTF-8,Final,27-Aug-2016,10,2,0,2,0.06806359368214461,0.47104269951072486
347,529,Change Windows filesystem encoding to UTF-8,Final,27-Aug-2016,10,2,0,2,0.06806359368214461,0.5391062931928694
356,538,Coercing the legacy C locale to a UTF-8 based locale,Final,28-Dec-2016,10,3,3,6,0.06608338608650217,0.6051896792793716
274,456,Secure and interchangeable hash algorithm,Final,27-Sep-2013,10,1,0,1,0.06230469204557719,0.6674943713249488
405,587,Python Initialization Configuration,Final,27-Mar-2019,10,2,4,6,0.05800479811383508,0.7254991694387839
371,553,Built-in breakpoint(),Final,05-Sep-2017,10,2,1,3,0.05249026526110742,0.7779894346998913
250,432,Restructuring the CPython startup sequence,Withdrawn,28-Dec-2012,10,2,2,4,0.049355005851633146,0.8273444405515245
370,552,Deterministic pycs,Final,04-Sep-2017,10,2,1,3,0.042728778579790544,0.870073219131315
355,537,Python 3.7 Release Schedule,Final,23-Dec-2016,10,0,5,5,0.02598535617373696,0.896058575305052
377,559,Built-in noop(),Rejected,08-Sep-2017,10,0,1,1,0.02598535617373696,0.9220439314787889
531,713,Callable Modules,Rejected,20-Apr-2023,10,0,1,1,0.02598535617373696,0.9480292876525259
542,726,Module ``__setattr__`` and ``__delattr__``,Rejected,24-Aug-2023,10,0,1,1,0.02598535617373696,0.9740146438262629
557,741,Python Configuration C API,Final,18-Jan-2024,10,0,2,2,0.02598535617373696,0.9999999999999998
664,3121,Extension Module Initialization and Finalization,Final,27-Apr-2007,11,4,0,4,0.18363815045988147,0.18363815045988147
307,489,Multi-phase extension module initialization,Final,11-Aug-2013,11,8,1,9,0.13836213184480659,0.322000282304688
502,684,A Per-Interpreter GIL,Final,08-Mar-2022,11,3,6,9,0.06769093874414153,0.3896912210488296
391,573,Module State Access from C Extension Methods,Final,02-Jun-2016,11,4,2,6,0.062271246237634914,0.4519624672864645
470,652,Maintaining the Stable ABI,Final,09-Feb-2021,11,3,0,3,0.05948506344780255,0.5114475307342671
521,703,Making the Global Interpreter Lock Optional in CPython,Accepted,09-Jan-2023,11,3,3,6,0.05948506344780255,0.5709325941820695
501,683,"Immortal Objects, Using a Fixed Refcount",Final,10-Feb-2022,11,3,0,3,0.05642059677588211,0.6273531909579517
372,554,Multiple Interpreters in the Stdlib,Superseded,05-Sep-2017,11,2,6,8,0.05292844912974419,0.6802816400876959
550,734,Multiple Interpreters in the Stdlib,Final,06-Nov-2023,11,2,2,4,0.04908372274666756,0.7293653628343635
616,803,"""abi3t"": Stable ABI for Free-Threaded Builds",Draft,19-Aug-2025,11,2,6,8,0.04013406883198328,0.7694994316663467
448,630,Isolating Extension Modules,Final,25-Aug-2020,11,2,2,4,0.038437327476601876,0.8079367591429486
515,697,Limited C API for Extending Opaque Types,Final,23-Aug-2022,11,2,1,3,0.03215423562623622,0.8400909947691848
595,779,Criteria for supported status for free-threaded Python,Final,13-Mar-2025,11,2,1,3,0.03215423562623622,0.872245230395421
608,793,PyModExport: A new entry point for C extension modules,Accepted,23-May-2025,11,2,2,4,0.03215423562623622,0.9043994660216572
621,809,Stable ABI for the Future,Draft,19-Sep-2025,11,1,6,7,0.02816431902336269,0.9325637850450199
365,547,Running extension modules using the -m option,Deferred,25-May-2017,11,0,1,1,0.022478738318326592,0.9550425233633466
505,687,Isolating modules in the standard library,Accepted,04-Apr-2022,11,0,3,3,0.022478738318326592,0.9775212616816732
610,797,Shared Object Proxies,Draft,08-Aug-2025,11,0,1,1,0.022478738318326592,0.9999999999999998
420,602,Annual Release Cycle for Python,Active,04-Jun-2019,12,11,3,14,0.2543231915454472,0.2543231915454472
414,596,Python 3.9 Release Schedule,Final,04-Jun-2019,12,3,3,6,0.13388698442554087,0.38821017597098806
416,598,Introducing incremental feature releases,Withdrawn,15-Jun-2019,12,3,3,6,0.10657639480559053,0.4947865707765786
535,719,Python 3.13 Release Schedule,Active,26-May-2023,12,1,1,2,0.08947281540606879,0.5842593861826474
423,605,A rolling feature release stream for CPython,Rejected,20-Sep-2019,12,4,4,8,0.06690432479246812,0.6511637109751155
432,614,Relaxing Grammar Restrictions On Decorators,Final,10-Feb-2020,12,1,0,1,0.05535068221352091,0.7065143931886364
434,616,String methods to remove prefixes and suffixes,Final,19-Mar-2020,12,1,0,1,0.05535068221352091,0.7618650754021573
13,20,The Zen of Python,Active,19-Aug-2004,12,3,0,3,0.03806641959585356,0.7999314949980109
425,607,Reducing CPython's Feature Delivery Latency,Final,11-Oct-2019,12,1,2,3,0.031632611428970295,0.8315641064269812
383,565,Show DeprecationWarning in __main__,Final,12-Nov-2017,12,2,0,2,0.023263028255975204,0.8548271346829563
424,606,Python Compatibility Version,Rejected,18-Oct-2019,12,1,6,7,0.02037636927669971,0.8752035039596561
640,3002,Procedure for Backwards-Incompatible Changes,Final,27-Mar-2006,12,1,0,1,0.020302349987999534,0.8955058539476556
426,608,Coordinated Python release,Rejected,25-Oct-2019,12,0,5,5,0.017415691008724036,0.9129215449563797
511,693,Python 3.12 Release Schedule,Active,24-May-2022,12,0,1,1,0.017415691008724036,0.9303372359651036
561,745,Python 3.14 Release Schedule,Active,24-Apr-2024,12,0,1,1,0.017415691008724036,0.9477529269738277
605,790,Python 3.15 Release Schedule,Active,26-Apr-2025,12,0,1,1,0.017415691008724036,0.9651686179825517
635,826,Python 3.16 Release Schedule,Active,23-Feb-2026,12,0,1,1,0.017415691008724036,0.9825843089912758
660,3117,Postfix type declarations,Rejected,01-Apr-2007,12,0,1,1,0.017415691008724036,0.9999999999999998
61,241,Metadata for Python Software Packages,Superseded,12-Mar-2001,13,9,0,9,0.1817336892021092,0.1817336892021092
164,345,Metadata for Python Software Packages 1.2,Superseded,28-Apr-2005,13,9,4,13,0.11219427328401677,0.29392796248612596
120,301,Package Index and Metadata for Distutils,Final,24-Oct-2002,13,3,2,5,0.09080147757905999,0.38472944006518595
258,440,Version Identification and Dependency Specification,Final,18-Mar-2013,13,6,5,11,0.08449250903542596,0.4692219491006119
133,314,Metadata for Python Software Packages 1.1,Superseded,12-Apr-2003,13,6,2,8,0.08002268623835172,0.5492446353389636
82,262,A Database of Installed Python Packages,Rejected,08-Jul-2001,13,2,3,5,0.06396944731162989,0.6132140826505935
244,426,Metadata for Python Software Packages 2.0,Withdrawn,30-Aug-2012,13,5,8,13,0.06071646863135699,0.6739305512819505
63,243,Module Repository Upload Mechanism,Withdrawn,18-Mar-2001,13,1,1,2,0.055504960009031754,0.7294355112909823
205,386,Changing the version comparison module in Distutils,Superseded,04-Jun-2009,13,4,2,6,0.04731537447737039,0.7767508857683526
195,376,Database of Installed Python Distributions,Final,22-Feb-2009,13,2,4,6,0.039832920681282746,0.8165838064496354
277,459,Standard Metadata Extensions for Python Software Packages,Withdrawn,11-Nov-2013,13,2,2,4,0.03772985618577881,0.8543136626354142
321,503,Simple Repository API,Final,04-Sep-2015,13,2,2,4,0.03055528845405849,0.8848689510894727
384,566,Metadata for Python Software Packages 2.1,Final,01-Dec-2017,13,2,5,7,0.03055528845405849,0.9154242395435311
208,390,Static metadata for Distutils,Rejected,10-Oct-2009,13,0,3,3,0.016915152091293746,0.9323393916348249
214,396,Module Version Numbers,Withdrawn,16-Mar-2011,13,0,3,3,0.016915152091293746,0.9492545437261186
314,496,Environment Markers,Rejected,03-Jul-2015,13,0,3,3,0.016915152091293746,0.9661696958174124
518,700,Additional Fields for the Simple API for Package Indexes,Final,21-Oct-2022,13,0,2,2,0.016915152091293746,0.9830848479087062
630,819,JSON Package Metadata,Draft,18-Dec-2025,13,0,2,2,0.016915152091293746,0.9999999999999999
