PEP,title,status,created,group_id,in-degree_group,out-degree_group,degree_group,pagerank_group,pagerank_cumsum
291,Backward Compatibility for the Python 2 Standard Library,Superseded,06-Jun-2002,3,1,0,1,0.08999344218411895,0.7531820274463059
702,Marking deprecations using the type system,Final,30-Dec-2022,3,1,2,3,0.08999344218411895,0.9814988036822292
206,Python Advanced Library,Withdrawn,14-Jul-2000,3,1,0,1,0.06673660252445042,0.36032790036481943
659,Specializing Adaptive Interpreter,Final,13-Apr-2021,3,3,0,3,0.06332004771484384,0.498897980394668
594,Removing dead batteries from the standard library,Final,20-May-2019,3,1,1,2,0.05674883599723397,0.43557793267982414
558,Defined semantics for locals(),Withdrawn,08-Sep-2017,3,2,2,4,0.051368145957751785,0.8730041651803395
744,JIT Compilation,Draft,11-Apr-2024,3,2,2,4,0.049952795458511084,0.8216360192225877
731,C API Working Group Charter,Active,11-Oct-2023,3,2,0,2,0.042089895673325994,0.5858531684887206
667,Consistent views of namespaces,Final,30-Jul-2021,3,1,2,3,0.04033302413792489,0.6261861926266454
709,Inlined comprehensions,Final,24-Feb-2023,3,1,0,1,0.03564234638738162,0.2750901015225983
706,Filter for tarfile.extractall,Final,09-Feb-2023,3,1,1,2,0.034226995888140904,0.05272819220591164
597,Add optional EncodingWarning,Final,05-Jun-2019,3,1,0,1,0.026364096102955824,0.5437632728153946
577,Augmented Assignment Expressions,Withdrawn,14-May-2018,3,0,1,1,0.01850119631777074,0.01850119631777074
674,Disallow using macros as l-values,Deferred,30-Nov-2021,3,0,1,1,0.01850119631777074,0.6631885852621869
686,Make UTF-8 mode default,Final,18-Mar-2022,3,0,2,2,0.01850119631777074,0.8915053614981102
707,A simplified signature for __exit__ and __aexit__,Rejected,18-Feb-2023,3,0,1,1,0.01850119631777074,0.23944775513521668
721,Using tarfile.data_filter for source distribution extraction,Final,12-Jul-2023,3,0,1,1,0.01850119631777074,0.3788290966825902
743,Add Py_OMIT_LEGACY_API to the Python C API,Rejected,11-Mar-2024,3,0,2,2,0.01850119631777074,0.7716832237640766
774,Removing the LLVM requirement for JIT builds,Deferred,27-Jan-2025,3,0,1,1,0.01850119631777074,0.293591297840369
788,Protecting the C API from Interpreter Finalization,Draft,23-Apr-2025,3,0,1,1,0.01850119631777074,0.5173991767124387
799,A dedicated ``profiling`` package for organizing Python profiling tools,Accepted,21-Jul-2025,3,0,2,2,0.01850119631777074,0.6446873889444162
831,Frame Pointers Everywhere: Enabling System-Level Observability for Python,Draft,14-Mar-2026,3,0,1,1,0.01850119631777074,0.9999999999999999
13,Python Language Governance,Active,16-Dec-2018,4,16,12,28,0.29390491847142053,0.5851398738722937
8001,Python Governance Voting Process,Final,24-Aug-2018,4,9,9,18,0.1172449404638991,0.1583151787732186
8016,The Steering Council Model,Accepted,01-Nov-2018,4,10,2,12,0.09187260585083983,0.7244997029101059
8000,Python Language Governance Proposal Overview,Final,24-Aug-2018,4,2,10,12,0.04107023830931951,0.04107023830931951
8002,Open Source Governance Survey,Final,24-Aug-2018,4,3,0,3,0.03853356772997441,0.19684874650319303
8010,The Technical Leader Governance Model,Rejected,24-Aug-2018,4,4,3,7,0.03368320759410283,0.23971135221658468
8100,January 2019 Steering Council election,Final,03-Jan-2019,4,1,1,2,0.029997058784225754,0.7900205885104193
8101,2020 Term Steering Council election,Final,16-Nov-2019,4,1,1,2,0.029997058784225754,0.8200176472946451
8102,2021 Term Steering Council election,Final,29-Oct-2020,4,1,1,2,0.029997058784225754,0.8500147060788709
8103,2022 Term Steering Council election,Final,04-Oct-2021,4,1,1,2,0.029997058784225754,0.8800117648630966
8104,2023 Term Steering Council election,Final,08-Nov-2022,4,1,1,2,0.029997058784225754,0.9100088236473224
8105,2024 Term Steering Council election,Final,23-Oct-2023,4,1,1,2,0.029997058784225754,0.9400058824315481
8106,2025 Term Steering Council election,Final,21-Oct-2024,4,1,1,2,0.029997058784225754,0.9700029412157739
8107,2026 Term Steering Council election,Final,21-Oct-2025,4,1,1,2,0.029997058784225754,0.9999999999999996
8011,Python Governance Model Lead by Trio of Pythonistas,Rejected,24-Aug-2018,4,3,4,7,0.027779991590802237,0.2674913438073869
8012,The Community Governance Model,Rejected,03-Oct-2018,4,2,4,6,0.02374361159348623,0.29123495540087313
8013,The External Council Governance Model,Rejected,14-Sep-2018,4,2,5,7,0.02374361159348623,0.6326270970592661
8014,The Commons Governance Model,Rejected,16-Sep-2018,4,2,2,4,0.02374361159348623,0.6088834854657799
8015,Organization of the Python community,Rejected,04-Oct-2018,4,2,2,4,0.02374361159348623,0.7482433145035922
609,Python Packaging Authority (PyPA) Governance,Active,05-Nov-2019,4,1,0,1,0.011780215222601406,0.7600235297261936
772,Packaging Council governance process,Accepted,21-Jan-2025,4,0,3,3,0.009179398119288815,0.20602814462248184
8,Style Guide for Python Code,Active,05-Jul-2001,5,12,3,15,0.2482936280742445,0.39384579452809654
20,The Zen of Python,Active,19-Aug-2004,5,4,0,4,0.12557214864100205,0.5858803562398696
3131,Supporting Non-ASCII Identifiers,Final,01-May-2007,5,2,0,2,0.11028244548131007,0.978415180535239
7,Style Guide for C Code,Active,05-Jul-2001,5,1,1,2,0.09193480168967967,0.12396734698909079
3108,Standard Library Reorganization,Final,01-Jan-2007,5,2,3,5,0.03687452262445323,0.6750983396896604
3150,"Statement local namespaces (aka ""given"" clause)",Deferred,09-Jul-2010,5,1,3,4,0.03496947979448092,0.4288152743225775
324,subprocess - New process module,Final,19-Nov-2003,5,1,0,1,0.03203254529941112,0.03203254529941112
360,Externally Maintained Packages,Final,30-May-2006,5,1,0,1,0.03203254529941112,0.781793457194884
359,"The ""make"" Statement",Withdrawn,05-Apr-2006,5,1,0,1,0.031492933276289985,0.7281760924307117
403,"General purpose decorator clause (aka ""@in"" clause)",Deferred,13-Oct-2011,5,1,2,3,0.031492933276289985,0.4603082075988674
601,Forbid return/break/continue breaking out of finally,Rejected,26-Aug-2019,5,1,1,2,0.03075864136057644,0.6166389976004459
364,Transitioning to the Py3K Standard Library,Withdrawn,01-Mar-2007,5,0,2,2,0.021584819464761245,0.8033782766596452
391,Dictionary-Based Configuration For Logging,Final,15-Oct-2009,5,0,1,1,0.021584819464761245,0.14555216645385205
423,Naming conventions and recipes related to packaging,Deferred,24-May-2012,5,0,3,3,0.021584819464761245,0.7497609118954729
672,Unicode-related Security Considerations for Python,Active,01-Nov-2021,5,0,1,1,0.021584819464761245,0.6382238170652071
760,No More Bare Excepts,Withdrawn,02-Oct-2024,5,0,1,1,0.021584819464761245,0.8465479155891678
762,REPL-acing the default REPL,Final,11-Oct-2024,5,0,1,1,0.021584819464761245,0.868132735053929
765,Disallow return/break/continue that exit a finally block,Final,15-Nov-2024,5,0,2,2,0.021584819464761245,1.0000000000000002
3109,Raising Exceptions in Python 3000,Final,19-Jan-2006,5,0,2,2,0.021584819464761245,0.6966831591544217
3117,Postfix type declarations,Rejected,01-Apr-2007,5,0,1,1,0.021584819464761245,0.8249630961244065
3101,Advanced String Formatting,Final,16-Apr-2006,6,7,0,7,0.15018246673021118,0.38398765991890005
498,Literal String Interpolation,Final,01-Aug-2015,6,5,3,8,0.09994469627985744,0.7117460449590891
215,String Interpolation,Superseded,24-Jul-2000,6,4,0,4,0.09461421511757385,0.1461965464615647
701,Syntactic formalization of f-strings,Accepted,15-Nov-2022,6,3,2,5,0.06757217865735836,1.0000000000000002
536,Final Grammar for Literal String Interpolation,Withdrawn,11-Dec-2016,6,1,2,3,0.054509885533860276,0.200706431995425
414,Explicit Unicode Literal for Python 3.3,Final,15-Feb-2012,6,1,0,1,0.05410864556391549,0.4380963054828156
378,Format Specifier for Thousands Separator,Final,12-Mar-2009,6,1,1,2,0.053925287094379354,0.9324278213426418
501,General purpose template literal strings,Withdrawn,08-Aug-2015,6,3,7,10,0.05263043331928887,0.8011290372322761
750,Template Strings,Final,08-Jul-2024,6,2,3,5,0.04314343579123125,0.6118013486792317
306,How to Change Python's Grammar,Withdrawn,29-Jan-2003,6,1,0,1,0.03675255895389813,0.7484986039129873
292,Simpler String Substitutions,Final,18-Jun-2002,6,2,1,3,0.03583584026996279,0.5355591516947366
475,Retry system calls failing with EINTR,Final,29-Jul-2014,6,1,0,1,0.033098761193263895,0.2338051931886889
682,Format Specifier for Signed Zero,Final,29-Jan-2022,6,1,1,2,0.033098761193263895,0.5686579128880005
675,Arbitrary Literal String Type,Final,30-Nov-2021,6,1,0,1,0.03218204250932856,0.4997233114247738
3105,Make print a function,Final,19-Nov-2006,6,1,0,1,0.029444963432629666,0.46754126891544523
502,String Interpolation - Extended Discussion,Rejected,10-Aug-2015,6,0,6,6,0.025791165671995436,0.8269202029042716
786,Precision and modulo-precision flag format specifiers for integer fields,Draft,04-Apr-2025,6,0,3,3,0.025791165671995436,0.025791165671995436
787,Safer subprocess usage using t-strings,Deferred,13-Apr-2025,6,0,2,2,0.025791165671995436,0.05158233134399087
3126,Remove Implicit String Concatenation,Rejected,29-Apr-2007,6,0,1,1,0.025791165671995436,0.8527113685762671
3127,Integer Literal Support and Syntax,Final,14-Mar-2007,6,0,2,2,0.025791165671995436,0.8785025342482625
241,Metadata for Python Software Packages,Superseded,12-Mar-2001,7,9,0,9,0.18048618640921146,0.718134092336822
345,Metadata for Python Software Packages 1.2,Superseded,28-Apr-2005,7,8,4,12,0.10072635783299112,0.29271222555844323
301,Package Index and Metadata for Distutils,Final,24-Oct-2002,7,3,2,5,0.08556694742405525,0.5216786406353352
314,Metadata for Python Software Packages 1.1,Superseded,12-Apr-2003,7,6,2,8,0.08020490664052708,0.9999999999999997
376,Database of Installed Python Distributions,Final,22-Feb-2009,7,4,4,8,0.07674440092821766,0.9197950933594726
440,Version Identification and Dependency Specification,Final,18-Mar-2013,7,5,5,10,0.0699565840031972,0.39221177731328916
262,A Database of Installed Python Packages,Rejected,08-Jul-2001,7,2,3,5,0.06864383935531948,0.14282405367298123
243,Module Repository Upload Mechanism,Withdrawn,18-Mar-2001,7,1,1,2,0.05233522704869022,0.7864385846777876
426,Metadata for Python Software Packages 2.0,Withdrawn,30-Aug-2012,7,4,7,11,0.04389991589799083,0.43611169321127996
386,Changing the version comparison module in Distutils,Superseded,04-Jun-2009,7,4,2,6,0.04224168373311106,0.05821094902538641
459,Standard Metadata Extensions for Python Software Packages,Withdrawn,11-Nov-2013,7,2,2,4,0.03319254876019548,0.17601660243317674
668,Marking Python base environments as “externally managed”,Accepted,18-May-2021,7,1,2,3,0.029542967751648726,0.32225519331009195
627,Recording installed projects,Final,15-Jul-2020,7,1,1,2,0.028525237045919742,0.8149638217237073
566,Metadata for Python Software Packages 2.1,Final,01-Dec-2017,7,2,5,7,0.028086870707547618,0.843050692431255
390,Static metadata for Distutils,Rejected,10-Oct-2009,7,0,3,3,0.015969265292275353,0.07418021431766177
396,Module Version Numbers,Withdrawn,16-Mar-2011,7,0,3,3,0.015969265292275353,0.19198586772545206
496,Environment Markers,Rejected,03-Jul-2015,7,0,3,3,0.015969265292275353,0.5376479059276106
704,Require virtual environments by default for package installers,Withdrawn,16-Jan-2023,7,0,1,1,0.015969265292275353,0.015969265292275353
819,JSON Package Metadata,Draft,18-Dec-2025,7,0,2,2,0.015969265292275353,0.7341033576290974
549,Instance Descriptors,Rejected,04-Sep-2017,8,1,0,1,0.08937502138500361,0.6688659235807369
315,Enhanced While Loop,Rejected,25-Apr-2003,8,1,0,1,0.08599698105241198,0.9999999999999998
540,Add a new UTF-8 Mode,Final,05-Jan-2016,8,4,3,7,0.08242813840184698,0.4829042705332615
562,Module __getattr__ and __dir__,Final,09-Sep-2017,8,3,1,4,0.0745776895005828,0.9140030189475878
548,More Flexible Loop Control,Rejected,05-Sep-2017,8,1,1,2,0.07060127548873486,0.5535055460219964
528,Change Windows console encoding to UTF-8,Final,27-Aug-2016,8,2,0,2,0.06806359368214461,0.21435844001529383
529,Change Windows filesystem encoding to UTF-8,Final,27-Aug-2016,8,2,0,2,0.06806359368214461,0.28242203369743846
538,Coercing the legacy C locale to a UTF-8 based locale,Final,28-Dec-2016,8,3,3,6,0.06608338608650217,0.40047613213141453
456,Secure and interchangeable hash algorithm,Final,27-Sep-2013,8,1,0,1,0.06230469204557719,0.06230469204557719
587,Python Initialization Configuration,Final,27-Mar-2019,8,2,4,6,0.05800479811383508,0.1462948463331492
553,Built-in breakpoint(),Final,05-Sep-2017,8,2,1,3,0.05249026526110742,0.7640849674216349
432,Restructuring the CPython startup sequence,Withdrawn,28-Dec-2012,8,2,2,4,0.049355005851633146,0.839425329447005
552,Deterministic pycs,Final,04-Sep-2017,8,2,1,3,0.042728778579790544,0.7115947021605274
537,Python 3.7 Release Schedule,Final,23-Dec-2016,8,0,5,5,0.02598535617373696,0.33439274604491237
559,Built-in noop(),Rejected,08-Sep-2017,8,0,1,1,0.02598535617373696,0.7900703235953719
713,Callable Modules,Rejected,20-Apr-2023,8,0,1,1,0.02598535617373696,0.08829004821931415
726,Module ``__setattr__`` and ``__delattr__``,Rejected,24-Aug-2023,8,0,1,1,0.02598535617373696,0.3084073898711754
741,Python Configuration C API,Final,18-Jan-2024,8,0,2,2,0.02598535617373696,0.5794909021957333
380,Syntax for Delegating to a Subgenerator,Final,13-Feb-2009,9,7,0,7,0.20346658200590975,0.9999999999999998
492,Coroutines with async and await syntax,Final,09-Apr-2015,9,3,4,7,0.09461494365541794,0.7201025299064652
523,Adding a frame evaluation API to CPython,Final,16-May-2016,9,3,0,3,0.08608483112425037,0.13972040415402923
525,Asynchronous Generators,Final,28-Jul-2016,9,4,2,6,0.08052915080230923,0.26682070851440953
3156,"Asynchronous IO Support Rebooted: the ""asyncio"" Module",Final,12-Dec-2012,9,2,3,5,0.0697192720587414,0.41598055285339725
468,Preserving the order of \*\*kwargs in a function.,Final,05-Apr-2014,9,2,0,2,0.05531193033719693,0.47129248319059414
689,Unstable C API tier,Final,22-Apr-2022,9,1,1,2,0.04961310157273542,0.79653341799409
479,Change StopIteration handling inside generators,Final,15-Nov-2014,9,1,1,2,0.04692395700089538,0.6254875862510473
3152,Cofunctions,Rejected,13-Feb-2009,9,1,1,2,0.04692395700089538,0.3137446655153049
3148,futures - execute computations asynchronously,Final,16-Oct-2009,9,1,0,1,0.04657115355807109,0.18629155771210032
530,Asynchronous Comprehensions,Final,03-Sep-2016,9,1,2,3,0.032516615279350916,0.34626128079465585
472,Support for indexing with keyword arguments,Rejected,24-Jun-2014,9,0,1,1,0.026817786514889422,0.4981102697054836
494,Python 3.6 Release Schedule,Final,30-May-2015,9,0,4,4,0.026817786514889422,0.7469203164213546
669,Low Impact Monitoring for CPython,Final,18-Aug-2021,9,0,2,2,0.026817786514889422,0.524928056220373
733,An Evaluation of Python's Public C API,Final,16-Oct-2023,9,0,1,1,0.026817786514889422,0.5517458427352624
798,Unpacking in Comprehensions,Accepted,19-Jul-2025,9,0,1,1,0.026817786514889422,0.5785636292501518
828,Supporting 'yield from' in asynchronous generators,Draft,07-Mar-2026,9,0,2,2,0.026817786514889422,0.026817786514889422
3145,Asynchronous I/O For subprocess.Popen,Withdrawn,04-Aug-2009,9,0,1,1,0.026817786514889422,0.053635573029778845
275,Switching on Multiple Values,Rejected,10-Nov-2001,10,2,1,3,0.19248628043314647,0.3361310241233797
3103,A Switch/Case Statement,Rejected,25-Jun-2006,10,2,1,3,0.19248628043314647,0.5523407659777823
634,Structural Pattern Matching: Specification,Final,12-Sep-2020,10,6,4,10,0.0637583299084181,0.8216071605481854
635,Structural Pattern Matching: Motivation and Rationale,Final,12-Sep-2020,10,5,7,12,0.06359136858177027,0.8851985291299557
622,Structural Pattern Matching,Superseded,23-Jun-2020,10,4,3,7,0.06102256206324497,0.7281314873419522
636,Structural Pattern Matching: Tutorial,Final,12-Sep-2020,10,6,3,9,0.06023916224592561,0.9454376913758813
572,Assignment Expressions,Final,28-Feb-2018,10,3,0,3,0.054562308624118566,0.9999999999999999
584,Add Union Operators To dict,Final,01-Mar-2019,10,2,0,2,0.04616658155568207,0.12249008878750246
617,New PEG parser for CPython,Final,24-Mar-2020,10,2,0,2,0.04616658155568207,0.6222308089547204
640,Unused variable syntax,Rejected,04-Oct-2020,10,2,4,6,0.03144539090783355,0.03144539090783355
626,Precise line numbers for debugging and other tools.,Final,15-Jul-2020,10,2,0,2,0.0297173432978151,0.7578488306397673
534,Improved Errors for Missing Standard Library Modules,Withdrawn,05-Sep-2016,10,1,0,1,0.023723461421256073,0.3598544855446358
613,Explicit Type Aliases,Final,21-Jan-2020,10,1,0,1,0.023723461421256073,0.5760642273990383
618,Add Optional Length-Checking To zip,Final,01-May-2020,10,1,0,1,0.023723461421256073,0.6459542703759764
644,Require OpenSSL 1.1.1 or newer,Final,27-Oct-2020,10,1,0,1,0.023723461421256073,0.0763235072318204
619,Python 3.10 Release Schedule,Active,25-May-2020,10,0,7,7,0.021154654902730774,0.6671089252787072
642,Explicit Pattern Syntax for Structural Pattern Matching,Rejected,26-Sep-2020,10,0,7,7,0.021154654902730774,0.05260004581056432
653,Precise Semantics for Pattern Matching,Draft,09-Feb-2021,10,0,3,3,0.021154654902730774,0.14364474369023322
3121,Extension Module Initialization and Finalization,Final,27-Apr-2007,11,4,0,4,0.18363815045988144,0.8076521272117242
489,Multi-phase extension module initialization,Final,11-Aug-2013,11,8,1,9,0.13836213184480659,0.3963309347603856
684,A Per-Interpreter GIL,Final,08-Mar-2022,11,3,6,9,0.06769093874414153,0.5733709194101534
573,Module State Access from C Extension Methods,Final,02-Jun-2016,11,4,2,6,0.062271246237634914,0.9405149365521972
652,Maintaining the Stable ABI,Final,09-Feb-2021,11,3,0,3,0.05948506344780255,0.09163929907403877
703,Making the Global Interpreter Lock Optional in CPython,Accepted,09-Jan-2023,11,3,3,6,0.05948506344780255,0.9999999999999998
683,"Immortal Objects, Using a Fixed Refcount",Final,10-Feb-2022,11,3,0,3,0.0564205967758821,0.5056799806660119
554,Multiple Interpreters in the Stdlib,Superseded,05-Sep-2017,11,2,6,8,0.05292844912974419,0.4492593838901298
